"","County","Candidate","Party","Votes","PercentageOfTotalVotes","TotalCountyVotes","Year"
"2161","Whitman","James Harris ","Socialist Workers Party",15,0.0876,17121,2012
"2162","Whitman","Ross C. (Rocky) Anderson ","Justice Party",37,0.2161,17121,2012
"2163","Yakima","Barack Obama ","Democratic Party",33217,43.1541,76973,2012
"2164","Yakima","Mitt Romney ","Republican Party",42239,54.8751,76973,2012
"2165","Yakima","Gary Johnson ","Libertarian Party",749,0.9731,76973,2012
"2166","Yakima","Virgil Goode ","Constitution Party",285,0.3703,76973,2012
"2167","Yakima","Jill Stein ","Green Party",330,0.4287,76973,2012
"2168","Yakima","Peta Lindsay ","Socialism & Liberation Party",28,0.0364,76973,2012
"2169","Yakima","James Harris ","Socialist Workers Party",30,0.039,76973,2012
"2170","Yakima","Ross C. (Rocky) Anderson ","Justice Party",95,0.1234,76973,2012
"2171","Adams","Hillary Clinton ","Democratic Party",1299,27.9716,4644,2016
"2172","Adams","Donald J. Trump ","Republican Party",3083,66.3867,4644,2016
"2173","Adams","Alyson Kennedy ","Socialist Workers Party",9,0.1938,4644,2016
"2174","Adams","Gloria Estela La Riva ","Socialism &amp; Liberation Party",10,0.2153,4644,2016
"2175","Adams","Jill Stein ","Green Party",22,0.4737,4644,2016
"2176","Adams","Darrell L. Castle ","Constitution Party",38,0.8183,4644,2016
"2177","Adams","Gary Johnson ","Libertarian Party",183,3.9406,4644,2016
"2178","Asotin","Hillary Clinton ","Democratic Party",3134,32.1898,9736,2016
"2179","Asotin","Donald J. Trump ","Republican Party",5741,58.9667,9736,2016
"2180","Asotin","Alyson Kennedy ","Socialist Workers Party",16,0.1643,9736,2016
"2181","Asotin","Gloria Estela La Riva ","Socialism &amp; Liberation Party",6,0.0616,9736,2016
"2182","Asotin","Jill Stein ","Green Party",117,1.2017,9736,2016
"2183","Asotin","Darrell L. Castle ","Constitution Party",98,1.0066,9736,2016
"2184","Asotin","Gary Johnson ","Libertarian Party",624,6.4092,9736,2016
"2185","Benton","Hillary Clinton ","Democratic Party",26360,32.9389,80027,2016
"2186","Benton","Donald J. Trump ","Republican Party",47194,58.9726,80027,2016
"2187","Benton","Alyson Kennedy ","Socialist Workers Party",109,0.1362,80027,2016
"2188","Benton","Gloria Estela La Riva ","Socialism &amp; Liberation Party",70,0.0875,80027,2016
"2189","Benton","Jill Stein ","Green Party",874,1.0921,80027,2016
"2190","Benton","Darrell L. Castle ","Constitution Party",601,0.751,80027,2016
"2191","Benton","Gary Johnson ","Libertarian Party",4819,6.0217,80027,2016
"2192","Chelan","Hillary Clinton ","Democratic Party",13032,39.0413,33380,2016
"2193","Chelan","Donald J. Trump ","Republican Party",18114,54.266,33380,2016
"2194","Chelan","Alyson Kennedy ","Socialist Workers Party",43,0.1288,33380,2016
"2195","Chelan","Gloria Estela La Riva ","Socialism &amp; Liberation Party",29,0.0869,33380,2016
"2196","Chelan","Jill Stein ","Green Party",480,1.438,33380,2016
"2197","Chelan","Darrell L. Castle ","Constitution Party",178,0.5333,33380,2016
"2198","Chelan","Gary Johnson ","Libertarian Party",1504,4.5057,33380,2016
