county	year	prim_or_gen	registered	ballots_cast	vote_pres_dem	vote_pres_rep	vote_pres_other	vote_gov_rep	vote_gov_dem	vote_gov_other	vote_sen_dem	vote_sen_rep	vote_sen_other
Beaver	2000	general	3296	2331	541	1653		1396	798		507	1704	
Box Elder	2000	general	25875	15848	2555	12288		9910	5107		3138	11931	
Cache	2000	general	53237	33880	5170	25920		23949	8264		6427	25874	
Carbon	2000	general	12209	7570	3298	3758		2566	4630		3526	3644	
Daggett	2000	general	641	442	104	317		246	175		112	300	
Davis	2000	general	132770	89127	18845	64375		54324	30972		22575	63009	
Duchesne	2000	general	7209	4786	779	3622		2597	1857		927	3517	
Emery	2000	general	6198	4533	958	3243		2493	1867		1146	3234	
Garfield	2000	general	2893	2075	178	1719		1224	629		247	1679	
Grand	2000	general	6584	3718	1158	1822		1630	1771		1439	1920	
Iron	2000	general	18515	12760	1789	10106		8472	3450		2182	9806	
Juab	2000	general	4265	2883	619	2023		1524	1134		687	1980	
Kane	2000	general	4136	2868	387	2254		1881	760		472	2212	
Millard	2000	general	7748	4942	696	3850		2862	1733		834	3761	
Morgan	2000	general	4860	3381	553	2464		1862	1243		680	2412	
Piute	2000	general	964	798	133	626		536	211		136	605	
Rich	2000	general	1297	920	152	736		553	341		169	710	
Salt Lake	2000	general	444186	312098	107576	171585		141698	157564		130329	168029	
San Juan	2000	general	8500	4836	1838	2721		2213	2424		1681	2957	
Sanpete	2000	general	11898	7776	1211	5781		4498	2596		1459	5622	
Sevier	2000	general	9388	7261	1046	5763		4858	1971		1158	5730	
Summit	2000	general	19633	12276	4601	6168		4914	6819		5739	5905	
Tooele	2000	general	20137	12743	4001	7807		6318	5804		4190	7895	
Uintah	2000	general	12516	8558	1387	6733		5026	3018		1622	6434	
Utah	2000	general	157182	122209	16445	98255		79626	36202		21189	95524	
Wasatch	2000	general	10423	5822	1476	3819		2895	2662		1714	3842	
Washington	2000	general	47602	32760	5465	25481		21693	9059		6329	24403	
Wayne	2000	general	1785	1288	202	953		733	450		255	920	
Weber	2000	general	87291	64093	19890	39254		32340	28468		21700	39244	
Beaver	1998	general	2984	1915							557	1209	
Box Elder	1998	general	23083	11004							2275	8079	
