County ,Registered,Cast,TurnoutPct,AccessibleVotingUnitVotes,AbsenteeCast,AbsenteePct,Year,VBMOnly
Asotin,11805,8961,0.7591,0,3751,0.4186,2004,0
Benton,85586,67690,0.7909,0,38838,0.5738,2004,0
Chelan,37395,29618,0.7920,0,24350,0.8221,2004,0
Clallam,43520,37363,0.8585,0,37362,1.0000,2004,1
Clark,207611,172277,0.8298,0,121675,0.7063,2004,0
Columbia,2542,2145,0.8438,0,1258,0.5865,2004,0
Cowlitz,53914,42723,0.7924,0,28605,0.6695,2004,0
Douglas,16994,13263,0.7805,0,10321,0.7782,2004,0
Ferry,4088,3385,0.8280,0,3385,1.0000,2004,1
Franklin,21235,16523,0.7781,0,6665,0.4034,2004,0
Garfield,1524,1331,0.8734,0,988,0.7423,2004,0
Grant,32760,26263,0.8017,0,16773,0.6387,2004,0
Grays Harbor,36647,28258,0.7711,0,17677,0.6256,2004,0
Island,43688,39076,0.8944,0,28883,0.7391,2004,0
Jefferson,21165,18772,0.8869,0,13715,0.7306,2004,0
King,1082406,899199,0.8307,0,565011,0.6283,2004,0
Kitsap,138956,119443,0.8596,0,93293,0.7811,2004,0
Kittitas,19817,16253,0.8202,0,7614,0.4685,2004,0
Klickitat,12163,9309,0.7654,0,3975,0.4270,2004,0
Lewis,38007,32948,0.8669,0,32562,0.9883,2004,0
Lincoln,6642,5900,0.8883,0,1512,0.2563,2004,0
Mason,31083,25839,0.8313,0,15243,0.5899,2004,0
Okanogan,20066,16613,0.8279,0,16613,1.0000,2004,1
Pacific,13195,10621,0.8049,0,5635,0.5306,2004,0
Pend Oreille,7486,6268,0.8373,0,6262,0.9990,2004,1
Pierce,405023,317012,0.7827,0,254555,0.8030,2004,0
San Juan,11246,10145,0.9021,0,6445,0.6353,2004,0
Skagit,63185,52705,0.8341,0,30523,0.5791,2004,0
Skamania,6305,5193,0.8236,0,5193,1.0000,2004,1
Snohomish,352238,297187,0.8437,0,200956,0.6762,2004,0
Spokane,251184,203886,0.8117,0,131172,0.6434,2004,0
Stevens,28414,20606,0.7252,0,10599,0.5144,2004,0
Thurston,137742,113996,0.8276,0,84255,0.7391,2004,0
Wahkiakum,2592,2255,0.8700,0,1665,0.7384,2004,0
Walla Walla,29279,23269,0.7947,0,15249,0.6553,2004,0
Whatcom,106094,91515,0.8626,0,66673,0.7285,2004,0
Whitman,27310,18122,0.6636,0,6244,0.3446,2004,0
Yakima,97052,73647,0.7588,0,54410,0.7388,2004,0
Adams,6127,3890,0.6349,0,3890,1.0000,2005,1
Asotin,11619,6694,0.5761,0,6694,1.0000,2005,1
Benton,79017,47100,0.5961,0,47030,0.9985,2005,0
Chelan,36452,20408,0.5599,0,18373,0.9003,2005,1
Clallam,43519,29455,0.6768,0,29453,0.9999,2005,1
