,Hillary Clinton,Bernie Sanders,"Roque
De La Fuente",Henry Hewes,"Keith
Judd",Michael Steinberg,Willie Wilson,Kevin M. Moreau,Willie Felix Carter,Andrew D. Basiago,Ignació León Nuñez,"Doug
Terry","Ben
Carson","Ted 
Cruz",John R. Kasich,Donald Trump,Jim Gilmore,Joann Breivogel,Victor Williams,Troy Hugh Southern,John Dowell,James Alexander-Pace,James Orlando Ogle III,David P. Thomson,Donald J. Gonzales,Frederic Vidal,James Germalio,Alan Spears,Arthur Harris,"J.R. 
Myers",James Hedges,Robert Ornelas,Thomas Hoefling,Wiley Drake,Darryl Cherney,William Kreml,Kent Mesplay,"Jill 
Stein",Sedinam Moyowasifsa-Curry,Gary Johnson,John McAfee,Marc Feldman,"Cecil 
Ince",Steve Kerbel,Darryl W. Perry,Austin Petersen,Derrick M. Reid,Rhett White Feather Smith,Joy Waymire,"John 
Hale","Jack Robinson, Jr.",Gloria Estela La Riva,Lynn S. Kahn,Monica Moorehead
,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM (W/I),DEM (W/I),DEM (W/I),DEM (W/I),DEM (W/I),REP,REP,REP,REP,REP,REP (W/I),REP (W/I),REP (W/I),REP (W/I),REP (W/I),REP (W/I),REP (W/I),REP (W/I),REP (W/I),REP (W/I),AI,AI,AI,AI,AI,AI,AI,GRN,GRN,GRN,GRN,GRN,LIB,LIB,LIB,LIB,LIB,LIB,LIB,LIB,LIB,LIB,LIB,LIB,PF,PF,PF
Madera,"5,808","4,852",58,26,52,44,99,0,0,0,0,0,491,"1,355",835,"9,976",84,0,0,0,0,0,0,0,0,0,0,33,53,56,14,53,43,18,5,6,2,40,2,62,16,1,1,7,3,8,2,3,1,4,5,12,5,2
  Percent,53.1%,44.4%,0.5%,0.2%,0.5%,0.4%,0.9%,0.0%,0.0%,0.0%,0.0%,0.0%,3.9%,10.6%,6.6%,78.3%,0.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,12.2%,19.6%,20.7%,5.2%,19.6%,15.9%,6.7%,9.1%,10.9%,3.6%,72.7%,3.6%,54.9%,14.2%,0.9%,0.9%,6.2%,2.7%,7.1%,1.8%,2.7%,0.9%,3.5%,4.4%,63.2%,26.3%,10.5%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marin,"43,283","33,214",29,38,47,79,67,0,0,0,0,0,431,923,"3,752","9,882",163,0,0,0,0,0,0,0,0,0,0,62,37,31,19,15,33,46,28,8,4,230,23,212,38,9,0,3,14,14,7,13,9,7,7,15,6,5
  Percent,56.4%,43.3%,0.0%,0.0%,0.1%,0.1%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,2.8%,6.1%,24.8%,65.2%,1.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,25.5%,15.2%,12.8%,7.8%,6.2%,13.6%,18.9%,9.6%,2.7%,1.4%,78.5%,7.8%,63.7%,11.4%,2.7%,0.0%,0.9%,4.2%,4.2%,2.1%,3.9%,2.7%,2.1%,2.1%,57.7%,23.1%,19.2%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mariposa,"1,102","1,355",3,4,8,9,20,0,0,0,0,0,112,331,216,"2,296",14,0,0,0,0,0,0,0,0,0,0,10,8,6,7,6,8,7,0,1,1,15,3,17,5,1,0,3,0,1,0,4,0,2,0,0,0,1
  Percent,44.1%,54.2%,0.1%,0.2%,0.3%,0.4%,0.8%,0.0%,0.0%,0.0%,0.0%,0.0%,3.8%,11.1%,7.3%,77.3%,0.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,19.2%,15.4%,11.5%,13.5%,11.5%,15.4%,13.5%,0.0%,5.0%,5.0%,75.0%,15.0%,51.5%,15.2%,3.0%,0.0%,9.1%,0.0%,3.0%,0.0%,12.1%,0.0%,6.1%,0.0%,0.0%,0.0%,100.0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mendocino,"6,048","12,259",8,9,23,34,45,0,0,0,0,0,241,458,522,"4,000",32,0,0,0,0,0,0,0,0,0,0,25,23,15,5,20,12,11,49,2,2,120,7,64,13,5,1,2,2,4,0,6,2,0,1,5,4,4
